agency,post_id_manuf,num_bids
1198,770,32
1198,4753,30
8448,5314,27
1272,5314,24
8448,788,21
1198,5011,20
1198,2184,19
1198,15212,17
1272,15212,16
37618,5314,16
8448,15228,14
37618,15212,14
37618,36004,13
1198,788,12
5477,770,12
1557,2184,12
1198,1266,11
5477,4753,11
13429,19571,10
1198,5314,10
1272,4753,10
1557,770,10
1557,5011,10
34369,15212,10
8448,2184,9
20664,15228,9
1198,1276,9
1557,5314,8
8448,36004,8
37618,44404,8
40190,15228,8
2047,2184,7
8448,1714,7
1198,756,7
8448,44404,7
1198,19924,7
2807,2184,7
1272,36004,7
1557,15212,7
20664,5314,6
1272,2184,6
8448,7490,6
13429,15865,6
1557,4753,6
30718,5314,6
5477,2184,6
5477,5314,5
1198,742,5
24020,15228,5
12796,4753,5
24268,15212,5
1557,788,5
1272,788,5
20664,2184,5
8448,15212,5
12796,15212,5
1557,7490,5
2047,770,4
17552,5011,4
2807,1276,4
35571,5314,4
9174,4753,4
2047,4753,4
12073,4753,4
35571,36004,4
19393,4753,4
4495,15212,4
2453,2184,4
35571,15212,4
12073,36004,4
1198,20636,4
1272,770,4
12073,5011,4
1272,774,4
12073,15212,4
13429,15203,4
20591,15212,4
8623,5011,4
8448,770,4
1712,1266,4
8448,23710,4
13429,20522,4
36798,5314,4
1198,19928,3
8448,15611,3
8448,5011,3
9174,5314,3
1198,774,3
19609,5314,3
17552,5314,3
44750,44404,3
19423,15212,3
1198,1684,3
3094,770,3
8448,774,3
17552,15212,3
18268,15212,3
44750,2184,3
1198,740,3
34369,36004,3
34369,5314,3
1272,44404,3
1712,2184,3
4495,15228,3
13429,19573,3
1712,770,3
21720,4753,3
20664,20224,3
5477,5011,3
20591,5314,3
21720,15611,3
1272,5011,3
1557,20636,3
30718,15212,3
2807,770,3
8448,24491,2
20664,788,2
3656,1266,2
3094,36004,2
12796,29877,2
36798,15212,2
12073,25719,2
1334,766,2
8448,20224,2
3094,44404,2
19423,770,2
1272,29877,2
3094,5314,2
4495,407,2
20808,15212,2
16226,4753,2
16226,5314,2
3094,774,2
15532,5314,2
24268,5314,2
2191,15212,2
24268,5011,2
16226,15212,2
12073,5314,2
2453,5011,2
8623,4753,2
20664,23710,2
43600,15212,2
47846,5314,2
1272,25719,2
44128,15212,2
21720,19924,2
17133,5011,2
28086,2184,2
37618,29877,2
17552,788,2
17552,2184,2
30807,5314,2
1557,23710,2
21720,15212,2
33760,5314,2
31427,15212,2
37618,19928,2
2047,1276,2
17552,19928,2
37546,1714,2
37618,2184,2
2807,740,2
1712,756,2
37546,36004,2
32015,5314,2
32015,15212,2
26126,2184,2
33646,15212,2
5477,1266,2
33760,36004,2
5477,756,2
37546,5314,2
19423,5314,2
5477,788,2
18781,5314,2
1198,15611,2
18781,19924,2
1198,5007,2
1198,7490,2
4695,4753,2
4695,770,2
34369,29877,2
18268,5314,2
9174,770,2
9174,5011,2
18781,23680,2
4495,5314,2
4495,887,2
18781,4753,2
4495,20522,2
40190,5314,2
30718,36004,2
18288,2184,1
6467,5314,1
6467,4753,1
2807,1266,1
2280,2184,1
2047,5314,1
40592,29877,1
41863,2184,1
30718,2184,1
1712,4753,1
13429,29775,1
1712,5314,1
45910,36004,1
19393,5011,1
37618,7490,1
2807,790,1
44128,5314,1
37618,4753,1
2047,15212,1
2807,5314,1
37618,788,1
30718,770,1
11297,770,1
4495,19928,1
41863,36004,1
12538,7490,1
12538,5011,1
12538,4753,1
15622,5314,1
37546,35999,1
17096,36004,1
4495,19924,1
4820,2184,1
40190,2184,1
21720,770,1
33646,42272,1
15622,4753,1
40190,1714,1
18288,15212,1
40592,23582,1
35520,770,1
12538,742,1
1712,1276,1
19393,5314,1
21720,5314,1
18268,5011,1
41863,788,1
12258,7490,1
4495,15189,1
40959,788,1
28086,4753,1
17133,4753,1
1349,4753,1
28086,5314,1
1557,21638,1
41718,15212,1
1349,5011,1
1349,5314,1
11297,19776,1
12258,5314,1
14964,770,1
12258,5011,1
12258,4753,1
28086,15212,1
12258,2184,1
3917,770,1
3917,774,1
1557,19928,1
19393,15212,1
12258,790,1
41718,4753,1
12258,770,1
1349,2184,1
33760,15212,1
30718,4753,1
7538,770,1
