,agency,post_id_manuf,num_bids
0,9271,5011,1
1,9271,2184,1
2,9174,4753,4
3,9174,5314,3
4,8884,7490,1
5,8884,2194,1
6,8623,5011,4
7,8623,4753,2
8,8448,5314,27
9,8448,788,21
10,7989,7490,1
11,7989,25719,0
12,7538,770,1
13,7538,2184,1
14,6467,5314,1
15,6467,4753,1
16,5477,770,12
17,5477,4753,11
18,5323,770,1
19,5323,756,1
20,51326,5314,1
21,51326,36004,1
22,48816,1714,1
23,48816,36004,1
24,48410,5314,1
25,48410,44404,1
26,4820,2184,1
27,4820,407,0
28,47846,5314,2
29,47846,15212,0
30,47364,788,1
31,47364,19573,0
32,4695,4753,2
33,4695,770,2
34,45910,36004,1
35,45910,44404,1
36,4495,15212,4
37,4495,15228,3
38,44750,44404,3
39,44750,2184,3
40,44128,15212,2
41,44128,5314,1
42,43600,15212,2
43,43600,36004,1
44,43175,36004,1
45,43175,15212,1
46,4301,1266,1
47,4301,421,1
48,42887,5314,1
49,42887,15212,1
50,41863,2184,1
51,41863,36004,1
52,41718,15212,1
53,41718,4753,1
54,4121,770,1
55,4121,421,1
56,41065,770,1
57,41065,15212,1
58,40959,788,1
59,40959,15212,1
60,40592,29877,1
61,40592,23582,1
62,40190,15228,8
63,40190,5314,2
64,39988,21576,1
65,39988,15212,1
66,39560,2184,1
67,39560,5314,1
68,3917,770,1
69,3917,774,1
70,37618,5314,16
71,37618,15212,14
72,37546,1714,2
73,37546,36004,2
74,36798,5314,4
75,36798,15212,2
76,3656,1266,2
77,3656,15189,0
78,35676,5314,1
79,35676,15212,1
80,35571,5314,4
81,35571,36004,4
82,35520,770,1
83,35520,5314,1
84,34472,15212,1
85,34472,24491,0
86,34369,15212,10
87,34369,36004,3
88,34124,15212,1
89,34124,770,0
90,33760,5314,2
91,33760,36004,2
92,33646,15212,2
93,33646,42272,1
94,33609,19928,1
95,33609,15212,1
96,33100,788,1
97,33100,19928,1
98,32674,15212,1
99,32674,44404,0
100,32015,5314,2
101,32015,15212,2
102,31904,788,1
103,31904,742,0
104,31665,36004,1
105,31665,5314,1
106,31427,15212,2
107,31427,12002,0
108,3094,770,3
109,3094,36004,2
110,30807,5314,2
111,30807,29877,1
112,30718,5314,6
113,30718,15212,3
114,30564,5314,1
115,30564,5011,0
116,30426,5314,1
117,30426,12002,0
118,30257,23710,1
119,30257,23680,1
120,29186,15212,1
121,29186,23680,1
122,28706,19928,1
123,28706,5314,1
124,28259,15212,1
125,28259,5314,1
126,28086,2184,2
127,28086,4753,1
128,2807,2184,7
129,2807,1276,4
130,26126,2184,2
131,26126,740,0
132,25328,15212,1
133,25328,25719,0
134,2453,2184,4
135,2453,5011,2
136,24268,15212,5
137,24268,5314,2
138,24020,15228,5
139,24020,788,1
140,2280,2184,1
141,2280,788,1
142,22536,788,1
143,22536,5314,1
144,22356,38958,0
145,22356,44404,0
146,2200,788,1
147,2200,44404,0
148,2197,2184,1
149,2197,44404,0
150,2191,15212,2
151,2191,21576,1
152,21720,4753,3
153,21720,15611,3
154,2158,4753,1
155,2158,42272,0
156,20808,15212,2
157,20808,19928,1
158,20664,15228,9
159,20664,5314,6
160,20591,15212,4
161,20591,5314,3
162,2047,2184,7
163,2047,770,4
164,19609,5314,3
165,19609,788,1
166,19423,15212,3
167,19423,770,2
168,19394,5011,1
169,19394,740,1
170,19393,4753,4
171,19393,5011,1
172,18781,5314,2
173,18781,19924,2
174,18288,2184,1
175,18288,15212,1
176,18268,15212,3
177,18268,5314,2
178,17922,4753,1
179,17922,7490,0
180,17552,5011,4
181,17552,5314,3
182,17133,5011,2
183,17133,4753,1
184,1712,1266,4
185,1712,2184,3
186,17096,36004,1
187,17096,4753,1
188,16267,2184,1
189,16267,4753,1
190,16226,4753,2
191,16226,5314,2
192,15869,5314,1
193,15869,756,0
194,15622,5314,1
195,15622,4753,1
196,1557,2184,12
197,1557,770,10
198,15532,5314,2
199,15532,2184,1
200,15529,5314,1
201,15529,12002,0
202,14964,770,1
203,14964,15203,0
204,14689,770,1
205,14689,15611,1
206,14418,15228,1
207,14418,15141,1
208,1349,4753,1
209,1349,5011,1
210,13429,19571,10
211,13429,15865,6
212,1334,766,2
213,1334,1276,1
214,12895,788,1
215,12895,20522,0
216,12858,5314,1
217,12858,23680,0
218,12796,4753,5
219,12796,15212,5
220,1272,5314,24
221,1272,15212,16
222,12538,7490,1
223,12538,5011,1
224,12484,788,1
225,12484,774,0
226,12258,7490,1
227,12258,5314,1
228,12248,770,1
229,12248,1266,1
230,12079,7490,1
231,12079,19776,0
232,12073,4753,4
233,12073,36004,4
234,12067,768,1
235,12067,1266,1
236,1198,770,32
237,1198,4753,30
238,11297,770,1
239,11297,19776,1
240,,4753,1
241,,770,1
