,req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,post_id_project,post_id_manuf,competing_manufacturers,is_manuf_bid,predBidProb
9727,0,1,quick,0,0,2048,5314,"['1266', '1276', '770', '2184']",0,0.3688913282359131
11548,0,1,quick,0,0,2048,15212,"['1266', '1276', '770', '2184']",0,0.27103516131964583
7906,0,1,quick,0,0,2048,4753,"['1266', '1276', '770', '2184']",0,0.2505609548442125
6692,0,1,quick,0,0,2048,2184,"['1266', '1276', '770', '2184']",1,0.22648967101447282
1836,0,1,quick,0,0,2048,770,"['1266', '1276', '770', '2184']",1,0.1807098979547068
9832,1,1,standard,0,0,10241,5314,"['770', '1266', '4753']",0,0.3882999377879541
11653,1,1,standard,0,0,10241,15212,"['770', '1266', '4753']",0,0.3588971462168598
6797,1,1,standard,0,0,10241,2184,"['770', '1266', '4753']",0,0.2320897008628667
8011,1,1,standard,0,0,10241,4753,"['770', '1266', '4753']",1,0.20589115982985465
20758,1,1,standard,0,0,10241,36004,"['770', '1266', '4753']",0,0.1156471124570023
10094,1,1,quick,0,0,30721,5314,['5314'],1,0.37585195151871226
11915,1,1,quick,0,0,30721,15212,['5314'],0,0.27695964137325035
8273,1,1,quick,0,0,30721,4753,['5314'],0,0.25619518324745627
7059,1,1,quick,0,0,30721,2184,['5314'],0,0.23175000157024525
21020,1,1,quick,0,0,30721,36004,['5314'],0,0.1543977865123823
10205,1,1,quick,0,0,40960,5314,"['15212', '15212', '788']",0,0.37585195151871226
12026,1,1,quick,0,0,40960,15212,"['15212', '15212', '788']",1,0.27695964137325035
8384,1,1,quick,0,0,40960,4753,"['15212', '15212', '788']",0,0.25619518324745627
7170,1,1,quick,0,0,40960,2184,"['15212', '15212', '788']",0,0.23175000157024525
21131,1,1,quick,0,0,40960,36004,"['15212', '15212', '788']",0,0.1543977865123823
9990,0,0,quick,1,0,22550,5314,"['15212', '19928']",0,0.2565747300776959
3313,0,0,quick,1,0,22550,788,"['15212', '19928']",0,0.20800624746954133
11811,0,0,quick,1,0,22550,15212,"['15212', '19928']",1,0.1800145006277143
8169,0,0,quick,1,0,22550,4753,"['15212', '19928']",0,0.16486105645209587
6955,0,0,quick,1,0,22550,2184,"['15212', '19928']",0,0.1474035857716251
9787,1,1,quick,0,0,6167,5314,"['770', '5007', '5011', '2184', '4753']",0,0.37585195151871226
11608,1,1,quick,0,0,6167,15212,"['770', '5007', '5011', '2184', '4753']",0,0.27695964137325035
7966,1,1,quick,0,0,6167,4753,"['770', '5007', '5011', '2184', '4753']",1,0.25619518324745627
6752,1,1,quick,0,0,6167,2184,"['770', '5007', '5011', '2184', '4753']",1,0.23175000157024525
20713,1,1,quick,0,0,6167,36004,"['770', '5007', '5011', '2184', '4753']",0,0.1543977865123823
9755,0,0,quick,0,0,4122,5314,"['770', '421', '2184']",0,0.2742462397222401
3078,0,0,quick,0,0,4122,788,"['770', '421', '2184']",0,0.2233375538334836
11576,0,0,quick,0,0,4122,15212,"['770', '421', '2184']",0,0.19378746777411002
7934,0,0,quick,0,0,4122,4753,"['770', '421', '2184']",0,0.1777259191699459
6720,0,0,quick,0,0,4122,2184,"['770', '421', '2184']",1,0.15916579486802973
3550,0,0,urgent,1,0,43036,788,['788'],1,0.4508269786636777
2336,0,0,urgent,1,0,43036,770,['788'],0,0.1599694397119001
10227,0,0,urgent,1,0,43036,5314,['788'],0,0.09901160767098867
8406,0,0,urgent,1,0,43036,4753,['788'],0,0.08936915670974445
9620,0,0,urgent,1,0,43036,5011,['788'],0,0.08823782051323677
9991,1,1,standard,1,0,22557,5314,"['788', '4753', '5314', '2184', '20522']",1,0.36699551564545296
11812,1,1,standard,1,0,22557,15212,"['788', '4753', '5314', '2184', '20522']",0,0.33831371417579104
6956,1,1,standard,1,0,22557,2184,"['788', '4753', '5314', '2184', '20522']",1,0.21632493412315584
8170,1,1,standard,1,0,22557,4753,"['788', '4753', '5314', '2184', '20522']",1,0.1914622454802743
20917,1,1,standard,1,0,22557,36004,"['788', '4753', '5314', '2184', '20522']",0,0.10669282011014311
10075,0,0,standard,0,1,28702,5314,['15228'],0,0.2700864006697801
12503,0,0,standard,0,1,28702,15228,['15228'],1,0.26574151444221683
11896,0,0,standard,0,1,28702,15212,['15228'],0,0.2460345958926901
7040,0,0,standard,0,1,28702,2184,['15228'],0,0.1497874283213346
8254,0,0,standard,0,1,28702,4753,['15228'],0,0.1312908686343774
10162,0,0,standard,0,0,36894,5314,"['15212', '29877', '23582']",0,0.2848649678377532
12590,0,0,standard,0,0,36894,15228,"['15212', '29877', '23582']",0,0.280373660111213
11983,0,0,standard,0,0,36894,15212,"['15212', '29877', '23582']",1,0.25996582752124575
7127,0,0,standard,0,0,36894,2184,"['15212', '29877', '23582']",0,0.1594211782245883
8341,0,0,standard,0,0,36894,4753,"['15212', '29877', '23582']",0,0.139930783924719
2036,0,1,urgent,0,0,18464,770,['4753'],0,0.24386905137423254
9927,0,1,urgent,0,0,18464,5314,['4753'],0,0.156912427457273
8106,0,1,urgent,0,0,18464,4753,['4753'],1,0.14252315914026073
9320,0,1,urgent,0,0,18464,5011,['4753'],0,0.14082299624530306
11748,0,1,urgent,0,0,18464,15212,['4753'],0,0.11407305875844377
9862,1,1,quick,0,0,12331,5314,"['4753', '5011']",0,0.37585195151871226
11683,1,1,quick,0,0,12331,15212,"['4753', '5011']",0,0.27695964137325035
8041,1,1,quick,0,0,12331,4753,"['4753', '5011']",1,0.25619518324745627
6827,1,1,quick,0,0,12331,2184,"['4753', '5011']",0,0.23175000157024525
20788,1,1,quick,0,0,12331,36004,"['4753', '5011']",0,0.1543977865123823
10249,0,0,quick,0,0,45100,5314,"['44404', '5314']",1,0.2742462397222401
3572,0,0,quick,0,0,45100,788,"['44404', '5314']",0,0.2233375538334836
12070,0,0,quick,0,0,45100,15212,"['44404', '5314']",0,0.19378746777411002
8428,0,0,quick,0,0,45100,4753,"['44404', '5314']",0,0.1777259191699459
7214,0,0,quick,0,0,45100,2184,"['44404', '5314']",0,0.15916579486802973
10066,1,1,urgent,0,0,28719,5314,['5011'],0,0.1608929198058874
8245,1,1,urgent,0,0,28719,4753,['5011'],0,0.14620192947822583
11887,1,1,urgent,0,0,28719,15212,['5011'],0,0.11711778270680734
10673,1,1,urgent,0,0,28719,7490,['5011'],0,0.10275792884857582
7031,1,1,urgent,0,0,28719,2184,['5011'],0,0.0885440772086751
10181,0,0,standard,1,0,38962,5314,"['5314', '1714']",1,0.2667607229422619
12609,0,0,standard,1,0,38962,15228,"['5314', '1714']",0,0.26245010024466964
12002,0,0,standard,1,0,38962,15212,"['5314', '1714']",0,0.2429065190726366
7146,0,0,standard,1,0,38962,2184,"['5314', '1714']",0,0.1476434103976142
8360,0,0,standard,1,0,38962,4753,"['5314', '1714']",0,0.12937131957813952
9815,0,0,quick,1,0,8246,5314,['788'],0,0.2565747300776959
3138,0,0,quick,1,0,8246,788,['788'],1,0.20800624746954133
11636,0,0,quick,1,0,8246,15212,['788'],0,0.1800145006277143
7994,0,0,quick,1,0,8246,4753,['788'],0,0.16486105645209587
6780,0,0,quick,1,0,8246,2184,['788'],0,0.1474035857716251
10142,0,0,standard,0,0,34870,5314,['15212'],0,0.2848649678377532
12570,0,0,standard,0,0,34870,15228,['15212'],0,0.280373660111213
11963,0,0,standard,0,0,34870,15212,['15212'],1,0.25996582752124575
7107,0,0,standard,0,0,34870,2184,['15212'],0,0.1594211782245883
8321,0,0,standard,0,0,34870,4753,['15212'],0,0.139930783924719
10164,1,1,urgent,0,0,36920,5314,['770'],0,0.1608929198058874
8343,1,1,urgent,0,0,36920,4753,['770'],0,0.14620192947822583
11985,1,1,urgent,0,0,36920,15212,['770'],0,0.11711778270680734
10771,1,1,urgent,0,0,36920,7490,['770'],0,0.10275792884857582
7129,1,1,urgent,0,0,36920,2184,['770'],0,0.0885440772086751
9788,1,1,quick,0,0,6209,5314,"['5011', '770', '2184', '4753']",0,0.37585195151871226
11609,1,1,quick,0,0,6209,15212,"['5011', '770', '2184', '4753']",0,0.27695964137325035
7967,1,1,quick,0,0,6209,4753,"['5011', '770', '2184', '4753']",1,0.25619518324745627
6753,1,1,quick,0,0,6209,2184,"['5011', '770', '2184', '4753']",1,0.23175000157024525
20714,1,1,quick,0,0,6209,36004,"['5011', '770', '2184', '4753']",0,0.1543977865123823
10304,1,1,quick,0,0,49221,5314,"['29877', '36004', '15212', '25719', '5314', '5314']",1,0.37585195151871226
12125,1,1,quick,0,0,49221,15212,"['29877', '36004', '15212', '25719', '5314', '5314']",1,0.27695964137325035
8483,1,1,quick,0,0,49221,4753,"['29877', '36004', '15212', '25719', '5314', '5314']",0,0.25619518324745627
7269,1,1,quick,0,0,49221,2184,"['29877', '36004', '15212', '25719', '5314', '5314']",0,0.23175000157024525
21230,1,1,quick,0,0,49221,36004,"['29877', '36004', '15212', '25719', '5314', '5314']",1,0.1543977865123823
10114,0,0,quick,1,0,32842,5314,['788'],0,0.2565747300776959
3437,0,0,quick,1,0,32842,788,['788'],1,0.20800624746954133
11935,0,0,quick,1,0,32842,15212,['788'],0,0.1800145006277143
8293,0,0,quick,1,0,32842,4753,['788'],0,0.16486105645209587
7079,0,0,quick,1,0,32842,2184,['788'],0,0.1474035857716251
10209,0,0,standard,1,0,41034,5314,"['5314', '1714', '15228']",1,0.2667607229422619
12637,0,0,standard,1,0,41034,15228,"['5314', '1714', '15228']",1,0.26245010024466964
