,meta_id,post_id,meta_key,meta_value
61776,94159,5011,vendors,105
61777,94160,5011,_vendors,field_60210489d474a
61778,94161,5011,street,Gan Rave st
61779,94162,5011,_street,field_601527f824830
61780,94163,5011,house,1
61781,94164,5011,_house,field_601527f824838
61782,94165,5011,city,Yavne
61783,94166,5011,_city,field_601527f824840
61784,94167,5011,zip,99999
61785,94168,5011,_zip,field_601527f824848
61786,94169,5011,country,IL
61787,94170,5011,_country,field_601527f824850
61788,94171,5011,currency,ILS
61789,94172,5011,_currency,field_60e1a4bd4ed06
61790,94173,5011,employees_num,6-20
61791,94174,5011,_employees_num,field_601527f824859
61792,94175,5011,company_id,512130493
61793,94176,5011,_company_id,field_602140b81211b
61794,94177,5011,international,0
61795,94178,5011,_international,field_60e1a4ff4ed07
61796,94179,5011,cnc_milling,1
61797,94180,5011,_cnc_milling,field_6015b1e92aa14
61798,94181,5011,cnc_milling_min_length,2
61799,94182,5011,_cnc_milling_min_length,field_601637f42aa15
61800,94183,5011,cnc_milling_min_width,2
61801,94184,5011,_cnc_milling_min_width,field_6016382cc8a9b
61802,94185,5011,cnc_milling_min_height,520
61803,94186,5011,_cnc_milling_min_height,field_60163842c8a9c
61804,94187,5011,cnc_milling_max_length,1600
61805,94188,5011,_cnc_milling_max_length,field_6016385cc8a9d
61806,94189,5011,cnc_milling_max_width,800
61807,94190,5011,_cnc_milling_max_width,field_60163884c8a9f
61808,94191,5011,cnc_milling_max_height,500
61809,94192,5011,_cnc_milling_max_height,field_60163873c8a9e
61810,94193,5011,cnc_milling_machines_num,5
61811,94194,5011,_cnc_milling_machines_num,field_601638dec8aa2
61812,94195,5011,cnc_milling_notes,
61813,94196,5011,_cnc_milling_notes,field_601638bfc8aa1
61814,94197,5011,cnc_turning_milling,1
61815,94198,5011,_cnc_turning_milling,field_6016394918ce3
61816,94199,5011,cnc_turning_milling_min_diameter,1
61817,94200,5011,_cnc_turning_milling_min_diameter,field_6016395018ce4
61818,94201,5011,cnc_turning_milling_min_length,1
61819,94202,5011,_cnc_turning_milling_min_length,field_6016395a18ce5
61820,94203,5011,cnc_turning_milling_max_diameter,150
61821,94204,5011,_cnc_turning_milling_max_diameter,field_6016396818ce6
61822,94205,5011,cnc_turning_milling_max_length,1000
61823,94206,5011,_cnc_turning_milling_max_length,field_6016397418ce7
61824,94207,5011,cnc_turning_milling_machines_num,5
61825,94208,5011,_cnc_turning_milling_machines_num,field_6016397d18ce8
61826,94209,5011,cnc_turning_milling_notes,
61827,94210,5011,_cnc_turning_milling_notes,field_6016398518ce9
61836,94219,5011,certifications,"a:1:{i:0;s:4:""5012"";}"
61837,94220,5011,_certifications,field_602103b770368
61838,94221,5011,qa_lab_capability_desc,
61839,94222,5011,_qa_lab_capability_desc,field_602103e070369
61840,94223,5011,traceability_system,
61841,94224,5011,_traceability_system,field_602103eb7036a
61842,94225,5011,sqe_team_and_supplier_quality_policy,
61843,94226,5011,_sqe_team_and_supplier_quality_policy,field_602103f97036b
61844,94227,5011,quality_system_desc,
61845,94228,5011,_quality_system_desc,field_602104077036c
61846,94229,5011,batch_size_10,1
61847,94230,5011,_batch_size_10,field_6021001762993
61848,94231,5011,batch_size_100,1
61849,94232,5011,_batch_size_100,field_6021002e62994
61850,94233,5011,batch_size_1000,1
61851,94234,5011,_batch_size_1000,field_6021003862995
61852,94235,5011,preffered_type_part_manufacturing,1
61853,94236,5011,_preffered_type_part_manufacturing,field_6021011f0eaca
61854,94237,5011,preffered_type_assemblies,1
61855,94238,5011,_preffered_type_assemblies,field_6021012d0eacb
61856,94239,5011,inspection_formal_inspection,1
61857,94240,5011,_inspection_formal_inspection,field_6021019856ef1
61863,94246,5011,_edit_lock,1655733946:95
73349,106620,5011,_edit_last,14
73350,106621,5011,irs,
73351,106622,5011,_irs,field_601527f824860
73352,106623,5011,vat,
73353,106624,5011,_vat,field_601527f824869
73354,106625,5011,cnc_turning,0
