,meta_id,post_id,meta_key,meta_value
341862,418386,25530,bid_parts_0_part,25007
341863,418387,25530,_bid_parts_0_part,field_5e5ff431c3336
341864,418388,25530,bid_parts_0_qty,300
341865,418389,25530,_bid_parts_0_qty,field_5e5ff47bc3339
341866,418390,25530,bid_parts_0_date,20220306
341867,418391,25530,_bid_parts_0_date,field_5e5ff447c3337
341868,418392,25530,bid_parts_0_unit_price,25
341869,418393,25530,_bid_parts_0_unit_price,field_5e5ff46bc3338
341870,418394,25530,bid_parts,1
341871,418395,25530,_bid_parts,field_5e5ff429c3335
341872,418396,25530,project,25003
341873,418397,25530,_project,field_60222cc9e26b6
341874,418398,25530,manufacturer,5011
341875,418399,25530,_manufacturer,field_60222ce7e26b7
341876,418400,25530,vendor,105
341877,418401,25530,_vendor,field_60222cfde26b8
341878,418402,25530,status,active
341879,418403,25530,_status,field_602236a6ab1fc
341880,418404,25530,currency,ILS
341881,418405,25530,_currency,field_61093733f9dbf
341882,418406,25530,_edit_lock,1644156370:14
368603,450279,25530,_edit_last,14
368604,450280,25530,bid_parts_0_won,1
368605,450281,25530,_bid_parts_0_won,field_60a3a4eac2606
368606,450282,25530,international,0
368607,450283,25530,_international,field_610936cf70100
368608,450284,25530,doc_po,27550
368609,450285,25530,_doc_po,field_60ec72375ff47
368610,450286,25530,doc_sc,30713
368611,450287,25530,_doc_sc,field_60ed4eecd94cc
368612,450288,25530,paid,0
368613,450289,25530,_paid,field_609b8c5afdefd
368614,450290,25530,amount,
368615,450291,25530,_amount,field_609b8e02fbc4c
368616,450292,25530,payment_date,
368617,450293,25530,_payment_date,field_609b8c65fdefe
