,meta_id,post_id,meta_key,meta_value
335398,411773,25003,engineer,166
335399,411774,25003,_engineer,field_60211665e0c3b
335400,411775,25003,agency,12796
335401,411776,25003,_agency,field_60211658e0c3a
335402,411777,25003,name,689DA35A
335403,411778,25003,_name,field_609777d22adcd
335404,411779,25003,description,
335405,411780,25003,_description,field_602116abe0c3e
335445,411820,25003,parts,"a:1:{i:0;s:5:""25007"";}"
335446,411821,25003,_parts,field_602116d7e0c40
335447,411822,25003,req_materials,"a:1:{i:0;s:15:""stainless_steel"";}"
335448,411823,25003,_req_materials,field_6021ffc4dfbdc
335449,411824,25003,req_inspections,"a:1:{i:0;s:14:""cmm_inspection"";}"
335450,411825,25003,_req_inspections,field_6022003ddfbdd
335451,411826,25003,req_batches,"a:1:{i:0;s:15:""batch_size_1000"";}"
335452,411827,25003,_req_batches,field_60220097dfbde
335453,411828,25003,plan,standard
335454,411829,25003,_plan,field_6021170ce0c42
335455,411830,25003,time_to_bid,2022-01-26 12:00:00
335456,411831,25003,_time_to_bid,field_60211720e0c43
335457,411832,25003,time_to_quote,2022-02-06 17:00:00
335458,411833,25003,_time_to_quote,field_6021172ce0c44
335459,411834,25003,time_to_po,2022-02-07 23:59:00
335460,411835,25003,_time_to_po,field_603de1bb0b5d6
335461,411836,25003,time_to_production,2022-03-07 16:00:00
335462,411837,25003,_time_to_production,field_60211734e0c45
335463,411838,25003,one_manufacturer,0
335464,411839,25003,_one_manufacturer,field_60211741e0c46
335465,411840,25003,use_avl,0
335466,411841,25003,_use_avl,field_6021174ce0c47
335467,411842,25003,use_certifications,0
335468,411843,25003,_use_certifications,field_60978c2d24516
335469,411844,25003,status,archived
335470,411845,25003,_status,field_602115fae0c37
335508,411883,25003,_edit_lock,1649326724:14
335509,411884,25003,_edit_last,14
335510,411885,25003,discount_p,
335511,411886,25003,_discount_p,field_60ed57fd27b5b
335512,411887,25003,project_boms,
335513,411888,25003,_project_boms,field_6146eabd14114
335514,411889,25003,project_docs,1
335515,411890,25003,_project_docs,field_60f43c6c3de9b
