,meta_id,post_id,meta_key,meta_value
341836,418352,25525,status,active
341837,418353,25525,_status,field_60223c3691ea8
341838,418354,25525,project,25003
341839,418355,25525,_project,field_60223bc791ea5
341840,418356,25525,bids,"a:2:{i:0;s:5:""25524"";i:1;s:5:""25530"";}"
341841,418357,25525,_bids,field_60223be691ea7
341842,418358,25525,agency,12796
341843,418359,25525,_agency,field_60223bdb91ea6
344434,421211,25525,doc_sl,25722
344435,421212,25525,_doc_sl,field_60ec65d0666ae
355583,434152,25525,_edit_lock,1644154062:14
368547,450223,25525,_edit_last,14
368548,450224,25525,chosen_bids,25530
368549,450225,25525,_chosen_bids,field_60223c6f91eaa
368550,450226,25525,chosen_quote,s-f
368551,450227,25525,_chosen_quote,field_612785713f655
368552,450228,25525,doc_sf,
368553,450229,25525,_doc_sf,field_60ec661d666af
368554,450230,25525,doc_int,
368555,450231,25525,_doc_int,field_610948c3a0637
368556,450232,25525,doc_ml,
368557,450233,25525,_doc_ml,field_60ec6632666b0
368558,450234,25525,doc_mf,
368559,450235,25525,_doc_mf,field_60ec6645666b1
