req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,predBidProb,post_id_manuf,manufacturer_name,manufacture_country,vendor_status
0,1,quick,1,0,0,[4-11),[10-30),,0.53775924,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.34323713,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.3319842,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.17469643,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.1506521,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.14785695,774,R.Benes Metal Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.10033651,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.05680916,1276,A. Peer Industries Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.046663202,15203,Dakrim Ltd,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.039725043,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.029064056,15611,Chemograf Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.020484498,23710,5MGLOBAL,TR,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.017982017,7490,GS ELECTRONIC PACKAGING,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.015449338,5011,YAAF,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.015334366,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.013950396,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.013749457,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.0071701542,756,Micron E.M.E,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.0068467217,20636,Moshe Turgerman Milling and Machining with C.N.C LTD.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.0053422884,742,N.B.T. Sharpening & Machining Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.51607645,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.33529228,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.2870818,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.22330818,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.14047417,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.107794955,774,R.Benes Metal Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.10498079,756,Micron E.M.E,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.07826219,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.07447687,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
