req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,predBidProb,post_id_manuf,manufacturer_name,manufacture_country
0,1,quick,1,0,0,[4-11),[10-30),,0.73708475,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),[10-30),,0.48724592,740,A. Nissim Metal industry Ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.45270708,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.39115858,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.18972053,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),[10-30),,0.13105103,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),[10-30),,0.12767236,774,R.Benes Metal Ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.09776464,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.09284185,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.07524996,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.060728483,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),[10-30),,0.05976508,44404,4MODEL,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.044889428,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.029256845,15203,Dakrim Ltd,
0,1,quick,1,0,0,[4-11),[10-30),,0.028142173,5011,YAAF,
0,1,quick,1,0,0,[4-11),[10-30),,0.028066203,23710,5MGLOBAL,TR
0,1,quick,1,0,0,[4-11),[10-30),,0.022339383,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN
0,1,quick,1,0,0,[4-11),[10-30),,0.021379272,1276,A. Peer Industries Ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.018003788,1266,Semel Hagalil Design &amp; Production Ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.015416972,756,Micron E.M.E,
0,1,quick,1,0,0,[4-11),[1-10),,0.6623215,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),[1-10),,0.5554189,740,A. Nissim Metal industry Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.40619257,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.2832063,774,R.Benes Metal Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.26191953,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.26184037,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),[1-10),,0.21761604,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),[1-10),,0.15931803,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.1441588,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.121722825,756,Micron E.M.E,
0,1,quick,1,0,0,[4-11),[1-10),,0.11156977,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),[1-10),,0.09672485,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.08882458,1266,Semel Hagalil Design &amp; Production Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.07202074,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR
0,1,quick,1,0,0,[4-11),[1-10),,0.060603347,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.040367156,742,N.B.T. Sharpening & Machining Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.04024594,20224,YDC METAL,TR
0,1,quick,1,0,0,[4-11),[1-10),,0.03290026,1276,A. Peer Industries Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.012901295,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN
0,1,quick,1,0,0,[4-11),[1-10),,0.01271672,5011,YAAF,
0,1,quick,1,0,0,[4-11),[30-100),,0.65781397,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),[30-100),,0.52522,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.36023584,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.30159098,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),[30-100),,0.15178026,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),[30-100),,0.12930913,44404,4MODEL,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.10022948,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),[30-100),,0.08461334,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.050030567,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),[30-100),,0.045787867,23710,5MGLOBAL,TR
0,1,quick,1,0,0,[4-11),[30-100),,0.04204534,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.039811257,5011,YAAF,
0,1,quick,1,0,0,[4-11),[30-100),,0.034204114,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.027486326,15611,Chemograf Ltd.,
0,1,quick,1,0,0,[4-11),[30-100),,0.024430135,1276,A. Peer Industries Ltd.,
0,1,quick,1,0,0,[4-11),[30-100),,0.02038303,1714,MATIC Kft.,HU
0,1,quick,1,0,0,[4-11),[30-100),,0.014006899,7490,GS ELECTRONIC PACKAGING,
0,1,quick,1,0,0,[4-11),[30-100),,0.0138159655,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN
0,1,quick,1,0,0,[4-11),[30-100),,0.010798031,1266,Semel Hagalil Design &amp; Production Ltd.,
0,1,quick,1,0,0,[4-11),[30-100),,0.009191022,774,R.Benes Metal Ltd.,
0,1,quick,1,0,0,[4-11),>=200,,0.5042425,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),>=200,,0.363557,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),>=200,,0.29449,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),>=200,,0.2808983,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),>=200,,0.16693407,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),>=200,,0.10695376,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),>=200,,0.081251785,1714,MATIC Kft.,HU
0,1,quick,1,0,0,[4-11),>=200,,0.0729995,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),>=200,,0.06521362,44404,4MODEL,CN
0,1,quick,1,0,0,[4-11),>=200,,0.059259515,20224,YDC METAL,TR
0,1,quick,1,0,0,[4-11),>=200,,0.057406243,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),>=200,,0.048476376,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),>=200,,0.037461985,7490,GS ELECTRONIC PACKAGING,
0,1,quick,1,0,0,[4-11),>=200,,0.024873909,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN
0,1,quick,1,0,0,[4-11),>=200,,0.017943315,23710,5MGLOBAL,TR
0,1,quick,1,0,0,[4-11),>=200,,0.015254287,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),>=200,,0.012556746,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR
0,1,quick,1,0,0,[4-11),>=200,,0.011665302,63577,Inolif,TR
0,1,quick,1,0,0,[4-11),>=200,,0.011642065,5011,YAAF,
0,1,quick,1,0,0,[4-11),>=200,,0.008636361,774,R.Benes Metal Ltd.,
0,1,quick,1,0,0,[4-11),[100-200),,0.56077653,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),[100-200),,0.4160187,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),[100-200),,0.28121576,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),[100-200),,0.19078873,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),[100-200),,0.17918268,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),[100-200),,0.141101,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),[100-200),,0.10062956,742,N.B.T. Sharpening & Machining Ltd.,
0,1,quick,1,0,0,[4-11),[100-200),,0.08718532,1714,MATIC Kft.,HU
0,1,quick,1,0,0,[4-11),[100-200),,0.07319183,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),[100-200),,0.0646729,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),[100-200),,0.04438914,20224,YDC METAL,TR
0,1,quick,1,0,0,[4-11),[100-200),,0.040774375,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),[100-200),,0.039178204,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR
0,1,quick,1,0,0,[4-11),[100-200),,0.033923056,44404,4MODEL,CN
0,1,quick,1,0,0,[4-11),[100-200),,0.028737158,23710,5MGLOBAL,TR
0,1,quick,1,0,0,[4-11),[100-200),,0.023809638,740,A. Nissim Metal industry Ltd.,
0,1,quick,1,0,0,[4-11),[100-200),,0.023036225,1266,Semel Hagalil Design &amp; Production Ltd.,
0,1,quick,1,0,0,[4-11),[100-200),,0.020203406,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),[100-200),,0.018151734,774,R.Benes Metal Ltd.,
0,1,quick,1,0,0,[4-11),[100-200),,0.018124323,7490,GS ELECTRONIC PACKAGING,
0,1,quick,1,0,0,[1-4),[10-30),,0.43353432,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[1-4),[10-30),,0.42223814,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[1-4),[10-30),,0.28539777,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[1-4),[10-30),,0.23938498,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[1-4),[10-30),,0.14382285,19928,"א.ל. כרסומטל זיווד בע""מ",
