req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,quick,1,0,0,[4-11),[10-30),,M.ash presicion mechanics,770,0.546632
0,1,quick,1,0,0,[4-11),[10-30),,Hongding Photoelectric Technology,5314,0.5021702
0,1,quick,1,0,0,[4-11),[10-30),,A. Nissim Metal industry Ltd.,740,0.34285212
0,1,quick,1,0,0,[4-11),[10-30),,R.Benes Metal Ltd.,774,0.22563045
0,1,quick,1,0,0,[4-11),[10-30),,Metalif Inc.,15228,0.19965944
0,1,quick,1,0,0,[4-11),[1-10),,M.ash presicion mechanics,770,0.5492914
0,1,quick,1,0,0,[4-11),[1-10),,Hongding Photoelectric Technology,5314,0.46783444
0,1,quick,1,0,0,[4-11),[1-10),,A. Nissim Metal industry Ltd.,740,0.3407369
0,1,quick,1,0,0,[4-11),[1-10),,R.Benes Metal Ltd.,774,0.2871701
0,1,quick,1,0,0,[4-11),[1-10),,Metalif Inc.,15228,0.28211477
0,1,quick,1,0,0,[4-11),[30-100),,Hongding Photoelectric Technology,5314,0.48240927
0,1,quick,1,0,0,[4-11),[30-100),,M.ash presicion mechanics,770,0.46395245
0,1,quick,1,0,0,[4-11),[30-100),,P.D.R ELECTRONICS,2184,0.2607635
0,1,quick,1,0,0,[4-11),[30-100),,FGM TEKNİK,15212,0.21057217
0,1,quick,1,0,0,[4-11),[30-100),,Metalif Inc.,15228,0.19064209
0,1,quick,1,0,0,[4-11),>=200,,Hongding Photoelectric Technology,5314,0.6266802
0,1,quick,1,0,0,[4-11),>=200,,Metalif Inc.,15228,0.53880715
0,1,quick,1,0,0,[4-11),>=200,,P.D.R ELECTRONICS,2184,0.44608533
0,1,quick,1,0,0,[4-11),>=200,,M.ash presicion mechanics,770,0.19154666
0,1,quick,1,0,0,[4-11),>=200,,FGM TEKNİK,15212,0.15992443
0,1,quick,1,0,0,[4-11),[100-200),,Hongding Photoelectric Technology,5314,0.55480397
0,1,quick,1,0,0,[4-11),[100-200),,N.B.T. Sharpening & Machining Ltd.,742,0.36606458
0,1,quick,1,0,0,[4-11),[100-200),,Zahavi steel ltd.,788,0.23997222
0,1,quick,1,0,0,[4-11),[100-200),,FGM TEKNİK,15212,0.23500563
0,1,quick,1,0,0,[4-11),[100-200),,P.D.R ELECTRONICS,2184,0.18666242
0,1,quick,1,0,0,[1-4),[10-30),,Hongding Photoelectric Technology,5314,0.41646484
0,1,quick,1,0,0,[1-4),[10-30),,FGM TEKNİK,15212,0.22070509
0,1,quick,1,0,0,[1-4),[10-30),,P.D.R ELECTRONICS,2184,0.21305141
0,1,quick,1,0,0,[1-4),[10-30),,Zahavi steel ltd.,788,0.19071196
0,1,quick,1,0,0,[1-4),[10-30),,Metalif Inc.,15228,0.16487001
0,1,quick,1,0,0,[1-4),[1-10),,Hongding Photoelectric Technology,5314,0.32565325
0,1,quick,1,0,0,[1-4),[1-10),,Zahavi steel ltd.,788,0.28906044
0,1,quick,1,0,0,[1-4),[1-10),,FGM TEKNİK,15212,0.27571303
0,1,quick,1,0,0,[1-4),[1-10),,Metalif Inc.,15228,0.23682934
0,1,quick,1,0,0,[1-4),[1-10),,Aloni engineering,4753,0.22028664
0,1,quick,1,0,0,[1-4),[30-100),,FGM TEKNİK,15212,0.37727854
0,1,quick,1,0,0,[1-4),[30-100),,Hongding Photoelectric Technology,5314,0.35907164
0,1,quick,1,0,0,[1-4),[30-100),,P.D.R ELECTRONICS,2184,0.24803044
0,1,quick,1,0,0,[1-4),[30-100),,Zahavi steel ltd.,788,0.23610623
0,1,quick,1,0,0,[1-4),[30-100),,"Dakings Rapid Manufacturing Co., Limited",23680,0.21094699
0,1,quick,1,0,0,[1-4),>=200,,Hongding Photoelectric Technology,5314,0.6261774
0,1,quick,1,0,0,[1-4),>=200,,Metalif Inc.,15228,0.43712702
0,1,quick,1,0,0,[1-4),>=200,,P.D.R ELECTRONICS,2184,0.37857118
0,1,quick,1,0,0,[1-4),>=200,,FGM TEKNİK,15212,0.23645785
0,1,quick,1,0,0,[1-4),>=200,,GS ELECTRONIC PACKAGING,7490,0.20418245
0,1,quick,1,0,0,[1-4),[100-200),,Hongding Photoelectric Technology,5314,0.5061913
0,1,quick,1,0,0,[1-4),[100-200),,FGM TEKNİK,15212,0.36573157
0,1,quick,1,0,0,[1-4),[100-200),,Zahavi steel ltd.,788,0.314627
0,1,quick,1,0,0,[1-4),[100-200),,N.B.T. Sharpening & Machining Ltd.,742,0.31381443
0,1,quick,1,0,0,[1-4),[100-200),,P.D.R ELECTRONICS,2184,0.30515614
0,1,quick,1,0,0,>=20,[10-30),,M.ash presicion mechanics,770,0.5976622
0,1,quick,1,0,0,>=20,[10-30),,Aloni engineering,4753,0.36879689
0,1,quick,1,0,0,>=20,[10-30),,Hongding Photoelectric Technology,5314,0.34417313
0,1,quick,1,0,0,>=20,[10-30),,Metalif Inc.,15228,0.2681769
0,1,quick,1,0,0,>=20,[10-30),,P.D.R ELECTRONICS,2184,0.21010354
0,1,quick,1,0,0,>=20,[1-10),,M.ash presicion mechanics,770,0.59594727
0,1,quick,1,0,0,>=20,[1-10),,Aloni engineering,4753,0.464154
0,1,quick,1,0,0,>=20,[1-10),,Metalif Inc.,15228,0.3618867
0,1,quick,1,0,0,>=20,[1-10),,Hongding Photoelectric Technology,5314,0.28847423
0,1,quick,1,0,0,>=20,[1-10),,P.D.R ELECTRONICS,2184,0.20501998
0,1,quick,1,0,0,>=20,[30-100),,M.ash presicion mechanics,770,0.540402
0,1,quick,1,0,0,>=20,[30-100),,Aloni engineering,4753,0.36732665
0,1,quick,1,0,0,>=20,[30-100),,P.D.R ELECTRONICS,2184,0.34695712
0,1,quick,1,0,0,>=20,[30-100),,Hongding Photoelectric Technology,5314,0.29773772
0,1,quick,1,0,0,>=20,[30-100),,Metalif Inc.,15228,0.27022153
0,1,quick,1,0,0,>=20,>=200,,Metalif Inc.,15228,0.6383635
0,1,quick,1,0,0,>=20,>=200,,Hongding Photoelectric Technology,5314,0.5663549
0,1,quick,1,0,0,>=20,>=200,,P.D.R ELECTRONICS,2184,0.40557352
0,1,quick,1,0,0,>=20,>=200,,Aloni engineering,4753,0.29218134
0,1,quick,1,0,0,>=20,>=200,,M.ash presicion mechanics,770,0.29146466
0,1,quick,1,0,0,>=20,[100-200),,Aloni engineering,4753,0.40068284
0,1,quick,1,0,0,>=20,[100-200),,Hongding Photoelectric Technology,5314,0.3924963
0,1,quick,1,0,0,>=20,[100-200),,P.D.R ELECTRONICS,2184,0.24860781
0,1,quick,1,0,0,>=20,[100-200),,FGM TEKNİK,15212,0.24261849
0,1,quick,1,0,0,>=20,[100-200),,Zahavi steel ltd.,788,0.2402175
0,1,quick,1,0,0,[11-20),[10-30),,M.ash presicion mechanics,770,0.40923402
0,1,quick,1,0,0,[11-20),[10-30),,P.D.R ELECTRONICS,2184,0.31220135
0,1,quick,1,0,0,[11-20),[10-30),,Hongding Photoelectric Technology,5314,0.27421626
0,1,quick,1,0,0,[11-20),[10-30),,YAAF,5011,0.23609711
0,1,quick,1,0,0,[11-20),[10-30),,Metalif Inc.,15228,0.16195367
0,1,quick,1,0,0,[11-20),[1-10),,P.D.R ELECTRONICS,2184,0.27845293
0,1,quick,1,0,0,[11-20),[1-10),,Hongding Photoelectric Technology,5314,0.27061865
0,1,quick,1,0,0,[11-20),[1-10),,Metalif Inc.,15228,0.23221193
0,1,quick,1,0,0,[11-20),[1-10),,M.ash presicion mechanics,770,0.23110455
0,1,quick,1,0,0,[11-20),[1-10),,Zahavi steel ltd.,788,0.22275878
0,1,quick,1,0,0,[11-20),[30-100),,P.D.R ELECTRONICS,2184,0.44905347
0,1,quick,1,0,0,[11-20),[30-100),,YAAF,5011,0.33152646
0,1,quick,1,0,0,[11-20),[30-100),,Hongding Photoelectric Technology,5314,0.27163127
0,1,quick,1,0,0,[11-20),[30-100),,FGM TEKNİK,15212,0.26911905
0,1,quick,1,0,0,[11-20),[30-100),,Zahavi steel ltd.,788,0.20136835
0,1,quick,1,0,0,[11-20),>=200,,Hongding Photoelectric Technology,5314,0.58254963
0,1,quick,1,0,0,[11-20),>=200,,P.D.R ELECTRONICS,2184,0.54403204
0,1,quick,1,0,0,[11-20),>=200,,Metalif Inc.,15228,0.46404845
0,1,quick,1,0,0,[11-20),>=200,,GS ELECTRONIC PACKAGING,7490,0.20008577
