req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,predBidProb,post_id_manuf,manufacturer_name,manufacture_country,vendor_status
0,1,quick,1,0,0,[4-11),[10-30),,0.5216856,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.4404291,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.36715677,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.35995772,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.22184329,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.13884662,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.11126342,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.104035474,774,R.Benes Metal Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.101150714,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.096550435,15203,Dakrim Ltd,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.0591762,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.04817302,1276,A. Peer Industries Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.045549665,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.04264588,5011,YAAF,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.03356839,23710,5MGLOBAL,TR,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.028744634,15611,Chemograf Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.021500796,7490,GS ELECTRONIC PACKAGING,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.016362406,742,N.B.T. Sharpening & Machining Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.016175851,756,Micron E.M.E,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.0107074175,20636,Moshe Turgerman Milling and Machining with C.N.C LTD.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.49113008,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.4845892,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.44933474,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.41771805,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.28153366,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.2246943,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.22304764,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.1928137,774,R.Benes Metal Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.16157405,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.12169216,756,Micron E.M.E,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.098385245,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.08266253,742,N.B.T. Sharpening & Machining Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.056492005,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.053527556,1276,A. Peer Industries Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.02938846,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.026320508,20224,YDC METAL,TR,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.023311116,15611,Chemograf Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.018850854,7490,GS ELECTRONIC PACKAGING,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.018030377,5011,YAAF,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.0028304348,20636,Moshe Turgerman Milling and Machining with C.N.C LTD.,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.5273443,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.3915682,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.35298353,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.24729155,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.14930359,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.14230305,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.111691184,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.062312096,7490,GS ELECTRONIC PACKAGING,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.056925472,5011,YAAF,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.049807616,23710,5MGLOBAL,TR,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.04412282,15611,Chemograf Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.037784543,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.037154518,1276,A. Peer Industries Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.03665445,1714,MATIC Kft.,HU,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.028420802,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.019415045,20636,Moshe Turgerman Milling and Machining with C.N.C LTD.,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.018934116,742,N.B.T. Sharpening & Machining Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.00634866,15203,Dakrim Ltd,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.0059860074,756,Micron E.M.E,,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.0059582493,63577,Inolif,TR,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.5329049,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.3569172,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.26792285,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.18951948,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.17892091,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.14956343,1714,MATIC Kft.,HU,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.14163928,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.08728309,7490,GS ELECTRONIC PACKAGING,,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.051040143,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.038948342,63577,Inolif,TR,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.037069775,23710,5MGLOBAL,TR,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.033979155,20224,YDC METAL,TR,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.026827676,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.01855555,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.01697128,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.009946866,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.008824654,35999,ETA Aerospace,IN,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.008311014,15203,Dakrim Ltd,,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.00819462,742,N.B.T. Sharpening & Machining Ltd.,,vendor
0,1,quick,1,0,0,[4-11),>=200,,0.0075077703,5011,YAAF,,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.53816336,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.3627077,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.26659766,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.2509628,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.13030708,742,N.B.T. Sharpening & Machining Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.11650817,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.07353143,7490,GS ELECTRONIC PACKAGING,,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.0701629,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.06731295,1714,MATIC Kft.,HU,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.06128934,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.03671876,20224,YDC METAL,TR,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.035844415,23710,5MGLOBAL,TR,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.030895283,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.030245189,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.014168857,774,R.Benes Metal Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.013056903,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.011695589,63577,Inolif,TR,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.0043151733,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.0040310957,21576,Masteran LTD,,vendor
0,1,quick,1,0,0,[4-11),[100-200),,0.0033506053,790,M. Barzilay Metal industries Ltd.,IL,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.5158004,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.4303867,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.2691299,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.16364844,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.15384582,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.114051186,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.091790706,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.0852734,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.06012516,23710,5MGLOBAL,TR,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.05631081,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.05324738,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.0441304,5011,YAAF,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.0424844,15611,Chemograf Ltd.,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.034705915,774,R.Benes Metal Ltd.,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.027708098,742,N.B.T. Sharpening & Machining Ltd.,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.01713768,7490,GS ELECTRONIC PACKAGING,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.011857522,1276,A. Peer Industries Ltd.,,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.011580429,63577,Inolif,TR,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.007957036,35999,ETA Aerospace,IN,vendor
0,1,quick,1,0,0,[1-4),[10-30),,0.0069304425,790,M. Barzilay Metal industries Ltd.,IL,vendor
0,1,quick,1,0,0,[1-4),[1-10),,0.5268435,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[1-4),[1-10),,0.43989462,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[1-4),[1-10),,0.29029262,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[1-4),[1-10),,0.22528228,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[1-4),[1-10),,0.2191283,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[1-4),[1-10),,0.18853088,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[1-4),[1-10),,0.16770121,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
