req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,predBidProb,post_id_manuf,manufacturer_name,manufacture_country
0,1,quick,1,0,0,[4-11),[10-30),,0.47157052,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.3555328,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.3417771,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),[10-30),,0.22798935,740,A. Nissim Metal industry Ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.20273587,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),[10-30),,0.13460426,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.11639288,774,R.Benes Metal Ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.11532503,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.108046696,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),[10-30),,0.06586876,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),[10-30),,0.052488655,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.04760723,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.034574248,1276,A. Peer Industries Ltd.,
0,1,quick,1,0,0,[4-11),[10-30),,0.028360551,44404,4MODEL,CN
0,1,quick,1,0,0,[4-11),[10-30),,0.026512085,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN
0,1,quick,1,0,0,[4-11),[10-30),,0.02591342,20224,YDC METAL,TR
0,1,quick,1,0,0,[4-11),[10-30),,0.022672353,23710,5MGLOBAL,TR
0,1,quick,1,0,0,[4-11),[10-30),,0.021289458,5011,YAAF,
0,1,quick,1,0,0,[4-11),[10-30),,0.021009631,15203,Dakrim Ltd,
0,1,quick,1,0,0,[4-11),[10-30),,0.020741474,1266,Semel Hagalil Design &amp; Production Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.3788808,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.3303231,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),[1-10),,0.3114562,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),[1-10),,0.2606599,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.19754083,740,A. Nissim Metal industry Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.18372518,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.16896024,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),[1-10),,0.14876182,774,R.Benes Metal Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.117010795,756,Micron E.M.E,
0,1,quick,1,0,0,[4-11),[1-10),,0.11382024,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.09385244,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),[1-10),,0.08644626,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.06293556,742,N.B.T. Sharpening & Machining Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.061793223,20224,YDC METAL,TR
0,1,quick,1,0,0,[4-11),[1-10),,0.06133138,1266,Semel Hagalil Design &amp; Production Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.06114955,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),[1-10),,0.052538477,1276,A. Peer Industries Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.046633445,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR
0,1,quick,1,0,0,[4-11),[1-10),,0.014305367,15611,Chemograf Ltd.,
0,1,quick,1,0,0,[4-11),[1-10),,0.0142706,7490,GS ELECTRONIC PACKAGING,
0,1,quick,1,0,0,[4-11),[30-100),,0.4925288,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.35430294,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),[30-100),,0.31829625,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),[30-100),,0.31754422,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.3091766,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),[30-100),,0.1511406,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.12110456,44404,4MODEL,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.10630367,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.07239367,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),[30-100),,0.0668934,23710,5MGLOBAL,TR
0,1,quick,1,0,0,[4-11),[30-100),,0.055303767,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),[30-100),,0.054818902,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),[30-100),,0.03528105,1276,A. Peer Industries Ltd.,
0,1,quick,1,0,0,[4-11),[30-100),,0.034762487,1714,MATIC Kft.,HU
0,1,quick,1,0,0,[4-11),[30-100),,0.034352947,15611,Chemograf Ltd.,
0,1,quick,1,0,0,[4-11),[30-100),,0.032461796,7490,GS ELECTRONIC PACKAGING,
0,1,quick,1,0,0,[4-11),[30-100),,0.023399645,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN
0,1,quick,1,0,0,[4-11),[30-100),,0.020147212,5011,YAAF,
0,1,quick,1,0,0,[4-11),[30-100),,0.01004576,756,Micron E.M.E,
0,1,quick,1,0,0,[4-11),[30-100),,0.00909599,742,N.B.T. Sharpening & Machining Ltd.,
0,1,quick,1,0,0,[4-11),>=200,,0.5056913,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),>=200,,0.4102836,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),>=200,,0.31657743,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),>=200,,0.1954026,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),>=200,,0.1383347,54499,Leshine,CN
0,1,quick,1,0,0,[4-11),>=200,,0.13143897,770,M.ash presicion mechanics,IL
0,1,quick,1,0,0,[4-11),>=200,,0.10657253,1714,MATIC Kft.,HU
0,1,quick,1,0,0,[4-11),>=200,,0.0888608,20224,YDC METAL,TR
0,1,quick,1,0,0,[4-11),>=200,,0.0886841,2184,P.D.R ELECTRONICS,CN
0,1,quick,1,0,0,[4-11),>=200,,0.08098692,44404,4MODEL,CN
0,1,quick,1,0,0,[4-11),>=200,,0.07921815,4753,Aloni engineering,CN
0,1,quick,1,0,0,[4-11),>=200,,0.047299366,788,Zahavi steel ltd.,
0,1,quick,1,0,0,[4-11),>=200,,0.038788985,7490,GS ELECTRONIC PACKAGING,
0,1,quick,1,0,0,[4-11),>=200,,0.026666353,63577,Inolif,TR
0,1,quick,1,0,0,[4-11),>=200,,0.025435144,23710,5MGLOBAL,TR
0,1,quick,1,0,0,[4-11),>=200,,0.0221227,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN
0,1,quick,1,0,0,[4-11),>=200,,0.019067703,19928,"א.ל. כרסומטל זיווד בע""מ",
0,1,quick,1,0,0,[4-11),>=200,,0.018485485,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR
0,1,quick,1,0,0,[4-11),>=200,,0.0077938847,15203,Dakrim Ltd,
0,1,quick,1,0,0,[4-11),>=200,,0.0072935815,35999,ETA Aerospace,IN
0,1,quick,1,0,0,[4-11),[100-200),,0.48900524,5314,Hongding Photoelectric Technology,CN
0,1,quick,1,0,0,[4-11),[100-200),,0.35113588,36004,Shenzhen KG Model Co. Ltd,CN
0,1,quick,1,0,0,[4-11),[100-200),,0.27244133,15212,FGM TEKNİK,TR
0,1,quick,1,0,0,[4-11),[100-200),,0.2629957,15228,Metalif Inc.,TR
0,1,quick,1,0,0,[4-11),[100-200),,0.23826098,54499,Leshine,CN
