req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,predBidProb,post_id_manuf,manufacturer_name,manufacture_country,vendor_status
0,1,quick,1,0,0,[4-11),[10-30),,0.5805189,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.5805189,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.5250728,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.43166003,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.36469364,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.21510674,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.21510674,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.21510674,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.21510674,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.20222604,15212,FGM TEKNİK,TR,pending_vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.17063057,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.17033185,774,R.Benes Metal Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.16526043,4753,Aloni engineering,CN,pending_vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.1314958,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.12387598,2184,P.D.R ELECTRONICS,CN,pending_vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.11731545,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.11731545,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.08182429,44404,4MODEL,CN,pending_vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.05135826,5011,YAAF,,vendor
0,1,quick,1,0,0,[4-11),[10-30),,0.0502309,65759,"Xiamen Guansheng Precision Machinery Co., Ltd.",CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.5766416,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.5766416,740,A. Nissim Metal industry Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.43076247,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.4296231,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.4080278,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.4080278,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.4080278,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.4080278,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.32545266,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.24122767,774,R.Benes Metal Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.22938974,15212,FGM TEKNİK,TR,pending_vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.22702038,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.22702038,788,Zahavi steel ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.22401102,19928,"א.ל. כרסומטל זיווד בע""מ",,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.18373786,4753,Aloni engineering,CN,pending_vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.14903784,54499,Leshine,CN,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.14571302,1266,Semel Hagalil Design &amp; Production Ltd.,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.14339401,756,Micron E.M.E,,vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.10527324,2184,P.D.R ELECTRONICS,CN,pending_vendor
0,1,quick,1,0,0,[4-11),[1-10),,0.09548443,29877,Tecasan Kalıp İmalat San. ve Tic. A.Ş.,TR,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.466473,5314,Hongding Photoelectric Technology,CN,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.39798126,770,M.ash presicion mechanics,IL,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.38049334,36004,Shenzhen KG Model Co. Ltd,CN,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.3260323,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.3260323,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.3260323,15228,Metalif Inc.,TR,vendor
0,1,quick,1,0,0,[4-11),[30-100),,0.3260323,15228,Metalif Inc.,TR,vendor
