req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,num_distinct_parts_binned,total_quantity_of_parts_binned,separator,manufacturer_name,post_id_manuf,predBidProb
0,1,quick,1,0,0,[4-11),[10-30),,Hongding Photoelectric Technology,5314,0.5140172057956941
0,1,quick,1,0,0,[4-11),[10-30),,Zahavi steel ltd.,788,0.23033438833116374
0,1,quick,1,0,0,[4-11),[10-30),,Shenzhen KG Model Co. Ltd,36004,0.19599975379538995
0,1,quick,1,0,0,[4-11),[10-30),,P.D.R ELECTRONICS,2184,0.16276654412468045
0,1,quick,1,0,0,[4-11),[10-30),,R.Benes Metal Ltd.,774,0.1581417728792688
0,1,quick,1,0,0,[4-11),[1-10),,Hongding Photoelectric Technology,5314,0.4017877314375181
0,1,quick,1,0,0,[4-11),[1-10),,Zahavi steel ltd.,788,0.34500557394811526
0,1,quick,1,0,0,[4-11),[1-10),,Metalif Inc.,15228,0.2519887057029805
0,1,quick,1,0,0,[4-11),[1-10),,R.Benes Metal Ltd.,774,0.24606707542964426
0,1,quick,1,0,0,[4-11),[1-10),,M.ash presicion mechanics,770,0.19129482863582398
0,1,quick,1,0,0,[4-11),[30-100),,Hongding Photoelectric Technology,5314,0.4963375407691593
0,1,quick,1,0,0,[4-11),[30-100),,Zahavi steel ltd.,788,0.2696043035903088
0,1,quick,1,0,0,[4-11),[30-100),,FGM TEKNİK,15212,0.18929465752816382
0,1,quick,1,0,0,[4-11),[30-100),,Metalif Inc.,15228,0.1889289002809057
0,1,quick,1,0,0,[4-11),[30-100),,P.D.R ELECTRONICS,2184,0.18262529092482102
0,1,quick,1,0,0,[4-11),>=200,,Hongding Photoelectric Technology,5314,0.7358467373357388
0,1,quick,1,0,0,[4-11),>=200,,Metalif Inc.,15228,0.41196705722420496
0,1,quick,1,0,0,[4-11),>=200,,P.D.R ELECTRONICS,2184,0.33478496646898315
0,1,quick,1,0,0,[4-11),>=200,,Shenzhen KG Model Co. Ltd,36004,0.2245090023638092
0,1,quick,1,0,0,[4-11),>=200,,MATIC Kft.,1714,0.17072942421795678
0,1,quick,1,0,0,[4-11),[100-200),,Hongding Photoelectric Technology,5314,0.5103674878971696
0,1,quick,1,0,0,[4-11),[100-200),,Zahavi steel ltd.,788,0.36548605073246104
0,1,quick,1,0,0,[4-11),[100-200),,FGM TEKNİK,15212,0.2722073015176104
0,1,quick,1,0,0,[4-11),[100-200),,P.D.R ELECTRONICS,2184,0.18509785232643602
0,1,quick,1,0,0,[4-11),[100-200),,Shenzhen KG Model Co. Ltd,36004,0.17420017000354984
0,1,quick,1,0,0,[1-4),[10-30),,Hongding Photoelectric Technology,5314,0.4921798560810798
0,1,quick,1,0,0,[1-4),[10-30),,Zahavi steel ltd.,788,0.37629134137177656
0,1,quick,1,0,0,[1-4),[10-30),,Shenzhen KG Model Co. Ltd,36004,0.22989195671887214
0,1,quick,1,0,0,[1-4),[10-30),,FGM TEKNİK,15212,0.18506660708568592
0,1,quick,1,0,0,[1-4),[10-30),,P.D.R ELECTRONICS,2184,0.1850441740128203
0,1,quick,1,0,0,[1-4),[1-10),,Zahavi steel ltd.,788,0.5150050438720358
0,1,quick,1,0,0,[1-4),[1-10),,Hongding Photoelectric Technology,5314,0.3809805469862814
0,1,quick,1,0,0,[1-4),[1-10),,Metalif Inc.,15228,0.24657358067690954
0,1,quick,1,0,0,[1-4),[1-10),,"א.ל. כרסומטל זיווד בע""מ",19928,0.2335814293308559
0,1,quick,1,0,0,[1-4),[1-10),,FGM TEKNİK,15212,0.17702663929151247
0,1,quick,1,0,0,[1-4),[30-100),,Hongding Photoelectric Technology,5314,0.47451791029382256
0,1,quick,1,0,0,[1-4),[30-100),,Zahavi steel ltd.,788,0.42665137133878706
0,1,quick,1,0,0,[1-4),[30-100),,Chemograf Ltd.,15611,0.25107484370134264
0,1,quick,1,0,0,[1-4),[30-100),,FGM TEKNİK,15212,0.22744982606700218
0,1,quick,1,0,0,[1-4),[30-100),,P.D.R ELECTRONICS,2184,0.20694910925580684
0,1,quick,1,0,0,[1-4),>=200,,Hongding Photoelectric Technology,5314,0.7185187046694217
0,1,quick,1,0,0,[1-4),>=200,,Metalif Inc.,15228,0.4049753372905303
0,1,quick,1,0,0,[1-4),>=200,,P.D.R ELECTRONICS,2184,0.37019619552772476
0,1,quick,1,0,0,[1-4),>=200,,Zahavi steel ltd.,788,0.28057863049861714
0,1,quick,1,0,0,[1-4),>=200,,Shenzhen KG Model Co. Ltd,36004,0.26172621309670613
0,1,quick,1,0,0,[1-4),[100-200),,Zahavi steel ltd.,788,0.5372988802791736
0,1,quick,1,0,0,[1-4),[100-200),,Hongding Photoelectric Technology,5314,0.4885293257080735
