,req_turning,req_milling,plan,req_sheet_metal,req_sheet_metal_inserts,one_manufacturer,post_id_manuf,sheet_metal_inserts,sheet_metal_weldings,sheet_metal_punching,employees_num,country,predBidProb,manufacturer_name
16,0,1,quick,1,0,0,5314,1,1,1,50+,CN,0.4522482223849909,Hongding Photoelectric Technology
5,0,1,quick,1,0,0,788,1,1,1,21-50,IL,0.37485069295889734,Zahavi steel ltd.
20,0,1,quick,1,0,0,15228,1,1,1,50+,TR,0.21562378108447836,Metalif Inc.
11,0,1,quick,1,0,0,2184,1,1,1,6-20,IL,0.1869364276090422,P.D.R ELECTRONICS
19,0,1,quick,1,0,0,15212,1,0,1,6-20,TR,0.1718913464012593,FGM TEKNİK
5,0,1,quick,1,0,1,788,1,1,1,21-50,IL,0.5635257304723532,Zahavi steel ltd.
16,0,1,quick,1,0,1,5314,1,1,1,50+,CN,0.30738932090844234,Hongding Photoelectric Technology
13,0,1,quick,1,0,1,4753,1,1,0,6-20,IL,0.2988194061399913,Aloni engineering
11,0,1,quick,1,0,1,2184,1,1,1,6-20,IL,0.29608525488557197,P.D.R ELECTRONICS
20,0,1,quick,1,0,1,15228,1,1,1,50+,TR,0.28911293175014136,Metalif Inc.
5,0,1,quick,1,1,0,788,1,1,1,21-50,IL,0.4536648896139076,Zahavi steel ltd.
16,0,1,quick,1,1,0,5314,1,1,1,50+,CN,0.4494723533285321,Hongding Photoelectric Technology
20,0,1,quick,1,1,0,15228,1,1,1,50+,TR,0.36057327985302584,Metalif Inc.
11,0,1,quick,1,1,0,2184,1,1,1,6-20,IL,0.25168085773570115,P.D.R ELECTRONICS
4,0,1,quick,1,1,0,774,1,1,1,21-50,IL,0.14875898269056453,R.Benes Metal Ltd.
5,0,1,quick,1,1,1,788,1,1,1,21-50,IL,0.6413141604278333,Zahavi steel ltd.
20,0,1,quick,1,1,1,15228,1,1,1,50+,TR,0.4548187357298244,Metalif Inc.
11,0,1,quick,1,1,1,2184,1,1,1,6-20,IL,0.3809219608095784,P.D.R ELECTRONICS
16,0,1,quick,1,1,1,5314,1,1,1,50+,CN,0.3050074847900648,Hongding Photoelectric Technology
35,0,1,quick,1,1,1,44404,1,1,1,6-20,IL,0.18856534069720365,4MODEL
16,0,1,quick,0,0,0,5314,1,1,1,50+,CN,0.3368109048519169,Hongding Photoelectric Technology
19,0,1,quick,0,0,0,15212,1,0,1,6-20,TR,0.314402252244722,FGM TEKNİK
13,0,1,quick,0,0,0,4753,1,1,0,6-20,IL,0.2840485475806947,Aloni engineering
11,0,1,quick,0,0,0,2184,1,1,1,6-20,IL,0.21587048935087705,P.D.R ELECTRONICS
3,0,1,quick,0,0,0,770,0,0,0,6-20,IL,0.2151158899189837,M.ash presicion mechanics
13,0,1,quick,0,0,1,4753,1,1,0,6-20,IL,0.5281727695566413,Aloni engineering
11,0,1,quick,0,0,1,2184,1,1,1,6-20,IL,0.33495362898030606,P.D.R ELECTRONICS
3,0,1,quick,0,0,1,770,0,0,0,6-20,IL,0.3309025904721988,M.ash presicion mechanics
5,0,1,quick,0,0,1,788,1,1,1,21-50,IL,0.265748394569779,Zahavi steel ltd.
16,0,1,quick,0,0,1,5314,1,1,1,50+,CN,0.21445119052795122,Hongding Photoelectric Technology
16,0,1,quick,0,1,0,5314,1,1,1,50+,CN,0.3343111327792087,Hongding Photoelectric Technology
11,0,1,quick,0,1,0,2184,1,1,1,6-20,IL,0.28709754695389905,P.D.R ELECTRONICS
19,0,1,quick,0,1,0,15212,1,0,1,6-20,TR,0.20852378401431784,FGM TEKNİK
5,0,1,quick,0,1,0,788,1,1,1,21-50,IL,0.1888256217537151,Zahavi steel ltd.
20,0,1,quick,0,1,0,15228,1,1,1,50+,TR,0.13964293644806014,Metalif Inc.
11,0,1,quick,0,1,1,2184,1,1,1,6-20,IL,0.4242155516053224,P.D.R ELECTRONICS
5,0,1,quick,0,1,1,788,1,1,1,21-50,IL,0.3338745242181325,Zahavi steel ltd.
13,0,1,quick,0,1,1,4753,1,1,0,6-20,IL,0.29289536442038044,Aloni engineering
3,0,1,quick,0,1,1,770,0,0,0,6-20,IL,0.21323248029860786,M.ash presicion mechanics
16,0,1,quick,0,1,1,5314,1,1,1,50+,CN,0.2125684770482254,Hongding Photoelectric Technology
16,0,1,standard,1,0,0,5314,1,1,1,50+,CN,0.44984918675538543,Hongding Photoelectric Technology
20,0,1,standard,1,0,0,15228,1,1,1,50+,TR,0.42825398996199576,Metalif Inc.
19,0,1,standard,1,0,0,15212,1,0,1,6-20,TR,0.2515105437202777,FGM TEKNİK
5,0,1,standard,1,0,0,788,1,1,1,21-50,IL,0.24662191797406638,Zahavi steel ltd.
10,0,1,standard,1,0,0,1714,1,1,1,50+,HU,0.1996181659410254,MATIC Kft.
20,0,1,standard,1,0,1,15228,1,1,1,50+,TR,0.5256472303027887,Metalif Inc.
5,0,1,standard,1,0,1,788,1,1,1,21-50,IL,0.41343954265978533,Zahavi steel ltd.
16,0,1,standard,1,0,1,5314,1,1,1,50+,CN,0.30533037396380136,Hongding Photoelectric Technology
11,0,1,standard,1,0,1,2184,1,1,1,6-20,IL,0.29368871089913284,P.D.R ELECTRONICS
13,0,1,standard,1,0,1,4753,1,1,0,6-20,IL,0.267597164483289,Aloni engineering
20,0,1,standard,1,1,0,15228,1,1,1,50+,TR,0.6057538905730687,Metalif Inc.
16,0,1,standard,1,1,0,5314,1,1,1,50+,CN,0.4470760241482412,Hongding Photoelectric Technology
5,0,1,standard,1,1,0,788,1,1,1,21-50,IL,0.31192785585422045,Zahavi steel ltd.
11,0,1,standard,1,1,0,2184,1,1,1,6-20,IL,0.24951632623218017,P.D.R ELECTRONICS
